Sl. No.,College Name,District,Email,Establish Year,College Type,Course Type,Contact No.,Link
168,Government Girls College Murlidhar Vyas Nagar,Bikaner,ggcmdv.bkn@gmail.com,2023, Girls,UG,9414193564,https://hte.rajasthan.gov.in/college/ggcmurlidharvyasnagar
169,Government College Jasrasar,Bikaner,gcjasrasar@gmail.com,, CoEd,,9252230245,https://hte.rajasthan.gov.in/college/gcjasrasar
170,Government college momasar,Bikaner,gcmomasar@gmail.com,, CoEd,,9929069045,https://hte.rajasthan.gov.in/college/gcmomasar
171,"GOVERNMENT COLLEGE, BUNDI",Bundi,pgcbundi@gmail.com.com,1959, CoEd,PG,07472445415,https://hte.rajasthan.gov.in/college/gcbundi
172,Govt. Girls  College Bundi Rajasthan,Bundi,ggcbnd95@gmail.com,1995, Girls,PG,0747-2443477,https://hte.rajasthan.gov.in/college/ggcbundi
173,"Government Law College, Bundi",Bundi,glcbundi08@gmail.com,2006, CoEd,UG,9309360600,https://hte.rajasthan.gov.in/college/glcbundi
174,Government College Hindoli,Bundi,gchindoli20@gmail.com,2020, CoEd,UG,07472445415,https://hte.rajasthan.gov.in/college/gchindoli
175,Bhagwan Adinath Jairaj Marwara Government College Nainwa,Bundi,satendra.s.gupta@gmail.com,2020, CoEd,UG,9414323979,https://hte.rajasthan.gov.in/college/gcnainwa
176,Government College Talera,Bundi,gctalera@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gctalera
177,"Subash Chandra Bose Govt College Kapasan, Distt. Chittorgarh",Chittorgarh,govtcollegekapasan@gmail.com,2013, CoEd,UG,01476-230241,https://hte.rajasthan.gov.in/college/gckapasan
178,GOVERNMENT GIRLS COLLEGE CHITTORGARH,Chittorgarh,girlscollegecor@gmail.com,1995, Girls,PG,01472251301,https://hte.rajasthan.gov.in/college/ggcchittorgarh
179,"DR. BHIMRAO AMBEDKAR GOVERNMENT P.G. COLLEGE, NIMBAHERA (RAJ.)",Chittorgarh,college.nimbahera@gmail.com,1977, CoEd,PG,01477-294559,https://hte.rajasthan.gov.in/college/gcnimbahera
180,"Maharana Pratap Government PG College, Chittorgarh",Chittorgarh,principalmppg@gmail.com,1962, CoEd,PG,01472-241041,https://hte.rajasthan.gov.in/college/gcchittorgarh
181,"GOVERNMENT COLLEGE , RAWATBHATA",Chittorgarh,rawatbhatacollege2016@gmail.com,2016, CoEd,PG,01475296023,https://hte.rajasthan.gov.in/college/gcrawatbhata
182,"Shri Sanwaliyaji Government College, Mandphia",Chittorgarh,ssgcm1997@gmail.com,1997, CoEd,PG,01470242700,https://hte.rajasthan.gov.in/college/gcmandaphia
183,SAHEED RUPAJI KARPAJI GOVERNMENT COLLEGE BEGUN,Chittorgarh,principalbegun@gmail.com,2017, CoEd,PG,01474294162,https://hte.rajasthan.gov.in/college/GOVT COLLEGE BEGUN
184,Government College Badisadri,Chittorgarh,gcbadisadri@gmail.com,2018, CoEd,UG,7503950506,https://hte.rajasthan.gov.in/college/gcbadisadri
185,GOVERNMENT COLLEGE GANGRAR,Chittorgarh,govtcollegegangrar@gmail.com,2020, CoEd,UG,1472241041,https://hte.rajasthan.gov.in/college/gcgangrar
186,Government Girls College Bassi,Chittorgarh,ggcbassi2022@gmail.com,2022, Girls,UG,1472251301,https://hte.rajasthan.gov.in/college/ggcbassichittor
187,Government College Ghosunda,Chittorgarh,principalgcghosunda@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/principalgcghosunda
188,Government Girls College Kapasan,Chittorgarh,govtgirlscollegekapasan@gmail.com,, Girls,,1476230241,https://hte.rajasthan.gov.in/college/ggckapasan
189,"Government Lohia College, Churu",Churu,lohiacollegechuru@gmail.com,1949, CoEd,PG,0156-2250362,https://hte.rajasthan.gov.in/college/gcchuru
190,"GOVERNMENT LAW COLLEGE, CHURU (RAJ.)",Churu,glcchuru@gmail.com,2006, CoEd,UG,9414278556,https://hte.rajasthan.gov.in/college/glcchuru
191,"Government College, Rajgarh (Churu)",Churu,gcrchuru@gmail.com,2014, CoEd,PG,01559-222001,https://hte.rajasthan.gov.in/college/gcrajgarhchuru
192,"Government College, Ratangarh",Churu,gcrtgrh@gmail.com,1990, CoEd,PG,01567-223150,https://hte.rajasthan.gov.in/college/gcratangarh
193,"G.H.S. Government College, Sujangarh (Churu)",Churu,gcsujangarh@gmail.com,1968, CoEd,PG,01581-280184,https://hte.rajasthan.gov.in/college/gcsujangarh
194,Govt Girls College Taranagar,Churu,govtgirlscollegetaranagar@gmail.com,2014, Girls,PG,01561241333,https://hte.rajasthan.gov.in/college/ggctaranagar
195,"S.B.D.Government College, Sardarshahar",Churu,sbdgcs@gmail.com,1960, CoEd,PG,015464-220027,https://hte.rajasthan.gov.in/college/gcsardarsahar
196,"S.K.D.L Govt. Girls College, Ratangarh (Churu)",Churu,girlscollegeratangarh@gmail.com,1997, Girls,PG,01567-223100,https://hte.rajasthan.gov.in/college/ggcratangarh
197,"M.J.D. Government College, Taranagar",Churu,mjdtaranagar@gmail.com,1999, CoEd,PG,01561241607,https://hte.rajasthan.gov.in/college/gctaranagar
198,"SHRI SANWARLAL JI SUSHILA DEVI SUTHAR GOVT. COLLEGE, BIDASAR",Churu,gcbidasar@gmail.com,2018, CoEd,PG,01560262718,https://hte.rajasthan.gov.in/college/govtcollegeBidasar
199,"Swami Gopaldas Government Girls College, Churu",Churu,girlscollegechuru@gmail.com,2017, Girls,UG,01562-252261,https://hte.rajasthan.gov.in/college/gcechuru
200,"GOVERNMENT GIRLS COLLEGE, RAJGARH (CHURU)",Churu,ggcrajgarh.nit@gmail.com,2019, Girls,UG,01559222777,https://hte.rajasthan.gov.in/college/ggcrajgarh
201,Government College rajaldesar,Churu,govtcollegerajaldesar@gmail.com,2020, CoEd,UG,8104720368,https://hte.rajasthan.gov.in/college/gcrajaldesar
202,Government Girls college Sardarshahar,Churu,ggcsardarshahar@gmail.com,2021, Girls,UG,9828775005,https://hte.rajasthan.gov.in/college/ggcsardarsahar
203,Master Bhanwarlal Meghwal Govt Girls College Sujangarh,Churu,ggcsujangarh@gmail.com,2021, Girls,UG,01581280184,https://hte.rajasthan.gov.in/college/ggcsujangarh
204,"Government College, Sahwa (Churu)",Churu,gcsahwa@gmail.com,2021, CoEd,UG,9650680317,https://hte.rajasthan.gov.in/college/gcsahawa
205,"GOVERNMENT GIRLS COLLEGE, SANDWA",Churu,ggcsandwa@gmail.com,2022, Girls,UG,01581280184,https://hte.rajasthan.gov.in/college/ggcsandwa
206,Government College Sidhmukh Churu,Churu,gcsidhmukh@gmail.com,2022, CoEd,UG,1559222001,https://hte.rajasthan.gov.in/college/gcsidhmukh
207,RAJESH PILOT GOVT. PG COLLEGE LALSOT,Dausa,rpgclalsot@gmail.com,1999, CoEd,PG,01431-213423     9414038057,https://hte.rajasthan.gov.in/college/gclalsot
208,SRP Government P.G. College Bandikui,Dausa,srpgc.bandikui@gmail.com,1977, CoEd,PG,0142-0228049,https://hte.rajasthan.gov.in/college/srpgovtcollegebandikui
209,"Shahid Ramkesh Meena Government College, Sikrai (Dausa)",Dausa,gcsikrai@gmail.com,2013, CoEd,UG,9785433082,https://hte.rajasthan.gov.in/college/govtcollegesikrai
210,"SRI SANT SUNDARDAS GOVERNMENT GIRLS COLLEGE, DAUSA",Dausa,girlscollegedausa@gmail.com,1996, Girls,PG,01427220515,https://hte.rajasthan.gov.in/college/ggcdausa
211,Dr. BhimRao Ambedkar Govt College Mahuwa,Dausa,gcmahuwa@gmail.com,2015, CoEd,UG,9414847160,https://hte.rajasthan.gov.in/college/gcmahuwa
212,"Government Girls College, Lalsot",Dausa,ggclalsot2013@gmail.com,2013, Girls,UG,9461861489,https://hte.rajasthan.gov.in/college/ggclalsot
213,"Swargiya P.N.K.S. Government PG College, Dausa",Dausa,gpgcdausa@gmail.com,1960, CoEd,PG,01427223111,https://hte.rajasthan.gov.in/college/gcscdausa
214,"Government Girls College, Sikandra (Dausa)",Dausa,ggcsikandra@gmail.com,2019, Girls,UG,9414821755,https://hte.rajasthan.gov.in/college/gcsikandra
215,Government Girls College Bandikui,Dausa,ggcbandikui@gmail.com,2019, Girls,UG,01420228691,https://hte.rajasthan.gov.in/college/ggcbandikui
216,Government College Nangal Rajawatan,Dausa,gcnangalrajawatan@gmail.com,2020, CoEd,UG,1427220515,https://hte.rajasthan.gov.in/college/gcrajawatan
217,"Government College, Baswa",Dausa,gcbaswa@gmail.com,2021, CoEd,UG,9785828496,https://hte.rajasthan.gov.in/college/gcbaswa
218,Goverment College Mandawar,Dausa,gcmandawar@gmail.com,2021, CoEd,UG,9461403721,https://hte.rajasthan.gov.in/college/gcmandawar
219,GOVERNMENT GIRLS COLLEGE RAMGARH PACHWARA DAUSA,Dausa,ggcramgarhpachwara@gmail.com,2021, Girls,UG,9414038057,https://hte.rajasthan.gov.in/college/ggcramgarhpachwara
220,GOVERNMENT GIRLS COLLEGE MAHUWA,Dausa,ggcollegemahuwa@gmail.com,2022, Girls,UG,8178472147,https://hte.rajasthan.gov.in/college/ggcollegemahuw
221,GOVERNMENT GIRLS COLLEGE SAINTHAL DISTRICT DAUSA,Dausa,ggcsainthal@gmail.com,2022, Girls,UG,1427223111,https://hte.rajasthan.gov.in/college/ggcsanthal
222,GOVERNMENT GIRLS COLLEGE LAWAN,Dausa,girlscollegelawan@gmail.com,2022, Girls,UG,9530193541,https://hte.rajasthan.gov.in/college/ggclawan
223,Government Girls College Mandawari,Dausa,ggcmandawari2022@gmail.com,2022, Girls,UG,9928376685,https://hte.rajasthan.gov.in/college/
224,"Government Girls College, Abhaneri",Dausa,ggcabhaneri@gmail.com,2023, Girls,UG,01420228049,https://hte.rajasthan.gov.in/college/GgcAbhaneri
225,Government Girls College Bhandarej,Dausa,ggcbhandarej2023@gmail.com,2023, Girls,UG,9414705857,https://hte.rajasthan.gov.in/college/bhandarej
226,Government College Bagdi,Dausa,gcbagdi2023@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gc bagdi 2023
227,Government College Geejgarh (dausa) RAJ.,Dausa,gcgeejgarh1@gmail.com,2023, CoEd,UG,9782613667,https://hte.rajasthan.gov.in/college/367
228,Government College Talchiri,Dausa,gctalchidi@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gctalchidi
229,Government College Kallawas,Dausa,gckallawas2023@gmail.cm,2023, CoEd,UG,9928376685,https://hte.rajasthan.gov.in/college/gckallawas
230,Government Girls College Chhareda,Dausa,ggcchhareda2023@gmail.com,2023, Girls,UG,99999999999,https://hte.rajasthan.gov.in/college/ggcchhareda2023
231,Government Law College Dausa,Dausa,glcdausa2023@gmail.com,, CoEd,,9414335960,https://hte.rajasthan.gov.in/college/glcdausa2023
232,"Government College, Dholpur",Dholpur,college-dho-rj@gov.in,1961, CoEd,PG,9414238409,https://hte.rajasthan.gov.in/college/gcdholpur
233,"Govt. Law College, Dholpur",Dholpur,govtlawcollegedholpur1117@gmail.com,2006, CoEd,UG,9414339011,https://hte.rajasthan.gov.in/college/glcdholpur
234,Govt. Girls College Dholpur,Dholpur,girlscollegedholpur@gmail.com,2014, Girls,PG,05642224000,https://hte.rajasthan.gov.in/college/ggcdholpur
235,"GOVERNMENT COLLEGE RAJAKHERA, DHOLPUR",Dholpur,gcrajakhera@gmail.com,2016, CoEd,PG,9413105227,https://hte.rajasthan.gov.in/college/gcrajakhera
236,"Govt College, Bari",Dholpur,govt.collegebari15@gmail.com,2014, CoEd,PG,7062215747,https://hte.rajasthan.gov.in/college/gcbari
237,Govt. College Baseri,Dholpur,gcbaseri@gmail.com,2018, CoEd,PG,9782032111,https://hte.rajasthan.gov.in/college/gcbaseri
238,Government College Saipau,Dholpur,gcsaipau@gmail.com,2019, CoEd,UG,8385953289,https://hte.rajasthan.gov.in/college/gcsaipau
239,Government college Sarmathura,Dholpur,gcsarmathura@gmail.com,2020, CoEd,UG,7982551868,https://hte.rajasthan.gov.in/college/gcsarmathura
240,"GOVERNMENT COLLEGE BASAI NAWAB, DHOLPUR",Dholpur,gcbasainawab@gmail.com,2020, CoEd,UG,7742268988,https://hte.rajasthan.gov.in/college/gcbasainawab
241,Government Girls College Bari,Dholpur,barigovtgirlscollege@gmail.com,2021, Girls,UG,7891676734,https://hte.rajasthan.gov.in/college/ggcbari
242,Government College Mania,Dholpur,gcmania@gmail.com,2021, CoEd,UG,9462351822,https://hte.rajasthan.gov.in/college/gcmania
243,Government Girls college Marena,Dholpur,governmantgirlscollegemarena@gmail.com,2022, Girls,UG,9414583861,https://hte.rajasthan.gov.in/college/ggcmarena
244,"Late Shri Bhikabhai Bhil Govt. College, Sagwara",Dungarpur,govtcollegesagwara@yahoo.in,1997, CoEd,PG,02966-252731,https://hte.rajasthan.gov.in/college/gcsagwara
245,"S.B.P. GOVERNMENT PG  COLLEGE , DUNGARPUR -314001",Dungarpur,sbpgcd@gmail.com,1961, CoEd,PG,02964-232523,https://hte.rajasthan.gov.in/college/gcdungarpur
246,Veer Bala Kali Bai Government Girls College,Dungarpur,vkbcollegedpr@gmail.com,1996, Girls,PG,02964-232263,https://hte.rajasthan.gov.in/college/ggcdungarpur
247,Govt. College Simalwara,Dungarpur,gcsimalwara@gmail.com,2017, CoEd,UG,02964-240027,https://hte.rajasthan.gov.in/college/gcsimalwara
248,"GOVERNMENT COLLEGE BICHHIWARA , DUNGARPUR",Dungarpur,gcbicchiwara@gmail.com,2018, CoEd,UG,9571023817,https://hte.rajasthan.gov.in/college/gcbichhiwara
249,"Government College, Chikhali",Dungarpur,gcchikhali@gmail.com,2021, CoEd,UG,9783421042,https://hte.rajasthan.gov.in/college/gcchikhali
250,Government College Ramsagra,Dungarpur,gcramsagra@gmail.com,2022, CoEd,UG,9928992172,https://hte.rajasthan.gov.in/college/gcramagra
251,Government College Chorasi Dungarpur,Dungarpur,principalgcchourasi@gmail.com,2022, CoEd,UG,9887675733,https://hte.rajasthan.gov.in/college/gcchorasi
252,Government College Paldewal,Dungarpur,gcpaldewal@gmail.com,2022, CoEd,UG,9414723881,https://hte.rajasthan.gov.in/college/gcpaldewal
253,"GOVERNMENT GIRLS COLLEGE, GALIYAKOT",Dungarpur,ggcgaliakot@gmail.com,2023, Girls,UG,02966-252731,https://hte.rajasthan.gov.in/college/ggcgaliakot
254,GOVERNMENT COLLEGE SABLA DUNGARPUR,Dungarpur,govtcollegesabla@gmail.com,, CoEd,,9509103371,https://hte.rajasthan.gov.in/college/gcsabla
255,"Government Nehru Memorial College, Hanumangarh",Hanumangarh,govtnmcollege@gmail.com,2010, CoEd,PG,01552-223163,https://hte.rajasthan.gov.in/college/gchanumangarh
256,"SHRIMATI NARBADA DEVI BIHANI GOVERNMENT POST GRADUATE COLLEGE, NOHAR",Hanumangarh,ndbgovtcollege@gmail.com,1984, CoEd,PG,01555-220233,https://hte.rajasthan.gov.in/college/gcnohar
257,Government College Bhadara,Hanumangarh,gcbhadara@gmail.com,2018, CoEd,UG,9680276727,https://hte.rajasthan.gov.in/college/gcbhadara
258,"GOVERNMENT GIRLS COLLEGE, HANUMANGARH (JUNCTION) 335512",Hanumangarh,ggchanumangarh@gmail.com,2019, Girls,UG,9929610522,https://hte.rajasthan.gov.in/college/ggchanumangarh
259,Government Girls College Nohar,Hanumangarh,ndbgovtcollege@gmail.com,2021, Girls,UG,9414636072,https://hte.rajasthan.gov.in/college/ggcnohar
260,GOVERNMENT COLLEGE RAWATSAR,Hanumangarh,gcrawatsar@gmail.com,2022, CoEd,UG,9414503357,https://hte.rajasthan.gov.in/college/GOVERNMENT COLLEGE RAWATSAR
261,GOVERNMENT COLLEGE TIBBI,Hanumangarh,govtcollegetibbi@gmail.com,2022, CoEd,UG,9462356746,https://hte.rajasthan.gov.in/college/gctibbi
262,Government College Sangaria,Hanumangarh,gcsangaria@gmail.com,2023, CoEd,UG,9460087591,https://hte.rajasthan.gov.in/college/gcsangaria
263,Government Girls College Pilibanga,Hanumangarh,ggcpilibanga@gmail.com,2023, Girls,UG,8079050444,https://hte.rajasthan.gov.in/college/ggcpilibanga
264,Government College Pallu,Hanumangarh,gcpallu@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcpallu
265,RAJASTHAN SCHOOL OF ART,Jaipur,rajschoolart2013@gmail.com,1866, CoEd,PG,0141-2704333,https://hte.rajasthan.gov.in/college/gcrsajaipur
266,GOVERNMENT COLLEGE JAIPUR,Jaipur,govtcollegejaipur@gmail.com,2013, CoEd,UG,0141-2709093,https://hte.rajasthan.gov.in/college/gcjaipur
267,"Lal Bahadur Shastri Government College, Kotputli, District-Jaipur(Raj.)",Jaipur,govtcollegekotputli@gmail.com,1962, CoEd,PG,1421-248008,https://hte.rajasthan.gov.in/college/gckotputli
268,Baba Gangadas Government Girls college Shahpura Jaipur,Jaipur,ggcshahpura@gmail.com,1997, Girls,PG,01422272995,https://hte.rajasthan.gov.in/college/ggcshahpurajpr
269,"Government Shakambhar P.G. College, Sambhar Lake, Jaipur (NAAC B + Grade)",Jaipur,gcslake@gmail.com,1970, CoEd,PG,01425-228407,https://hte.rajasthan.gov.in/college/gcsambherlake
270,"SMT. PANA DEVI MORIJAWALA  GOVT. P.G. GIRLS COLLEGE , KOTPUTLI",Jaipur,pdmgovtgirlscollege@gmail.com,1997, Girls,PG,1421-0249112,https://hte.rajasthan.gov.in/college/ggckotputli
271,"BND GOVT. ARTS COLLEGE , CHIMANPURA (SHAHPURA )",Jaipur,bndcollege2015@gmail.com,2014, CoEd,PG,9772238822,https://hte.rajasthan.gov.in/college/gcachimanpura
272,"B. B. D.  GOVT.  COLLEGE , CHIMANPURA (SHAHPURA)",Jaipur,collegebbd@gmail.com,1977, CoEd,PG,9414622987,https://hte.rajasthan.gov.in/college/gcsccchimanpura
273,"Seth RL Saharia Government PG College, Kaladera, Jaipur",Jaipur,rlscollegekaladera@gmail.com,1959, CoEd,PG,01423-265828,https://hte.rajasthan.gov.in/college/gckaladera
274,"GOVERNMENT GIRLS COLLEGE, CHOMU",Jaipur,ggc_chomu@yahoo.com,1999, Girls,PG,01423223224,https://hte.rajasthan.gov.in/college/ggcchomu
275,"Rajasthan Sangeet Sansthan, Jaipur",Jaipur,rjsangeetsansthan@gmail.com,1950, CoEd,PG,01412701064,https://hte.rajasthan.gov.in/college/gcrssjaipur
276,Government College Dudu,Jaipur,gcdudurajasthan@gmail.com,2017, CoEd,UG,9414363733,https://hte.rajasthan.gov.in/college/gcdudu
277,"Government Girls College, Kishanpole , Jaipur",Jaipur,ggckishanpolejpr@gmail.com,2019, Girls,UG,0141 9414069967,https://hte.rajasthan.gov.in/college/ggcjaipur
278,"Govt.College Bassi,Jaipur (Rajasthan)",Jaipur,gcbassi19@gmail.com,2019, CoEd,PG,01429-294262,https://hte.rajasthan.gov.in/college/gcbassi
279,"Government PG College Viratnagar, Jaipur",Jaipur,gcviratnagar@gmail.com,2019, CoEd,PG,9460143132,https://hte.rajasthan.gov.in/college/gcviratnagar
280,"Government P.G.College Jamwaramgarh,Jaipur",Jaipur,gcjamwaramgarh2019@gmail.com,2019, CoEd,UG,9414399039,https://hte.rajasthan.gov.in/college/gcjamwaramgarh
281,Government College Phagi,Jaipur,govtcollegephagi@gmail.com,2019, CoEd,UG,9462717101,https://hte.rajasthan.gov.in/college/gcphagi
282,GOVERNMENT COLLEGE CHAKSU,Jaipur,govtcollegechaksujaipur@gmail.com,2019, CoEd,UG,01429-294078,https://hte.rajasthan.gov.in/college/gcchaksu
283,Goverment College Sanganer,Jaipur,gcsanganer@gmail.com,2019, CoEd,UG,0141-2943720,https://hte.rajasthan.gov.in/college/gcsanganer
284,Government College Jamdoli,Jaipur,govtcollegejamdoli@gmail.com,2020, CoEd,UG,6375292432,https://hte.rajasthan.gov.in/college/gcjamdoli
285,Government College Kotkhawada,Jaipur,govtcollegekotkhawada@gmail.com,2020, CoEd,UG,7014871097,https://hte.rajasthan.gov.in/college/gckotkhawada
286,Government College Radawas,Jaipur,radawascollege@gmail.com,2020, CoEd,UG,9414466923,https://hte.rajasthan.gov.in/college/gcege
287,"Shri Radha Govind Government College, Kanwar Nagar, Bhrampuri, Jaipur",Jaipur,govtcollegebhrampuri@gmail.com,2020, CoEd,UG,0141-2634641,https://hte.rajasthan.gov.in/college/gcbhrampuri
288,GOVERNMENT COLLEGE BAGRU,Jaipur,principalgcbagru2020@gmail.com,2020, CoEd,UG,9462688656,https://hte.rajasthan.gov.in/college/gcbagru
289,GOVERNMENT COLLEGE ANDHI,Jaipur,gcandhi2022@gmail.com,2022, CoEd,UG,8890098538,https://hte.rajasthan.gov.in/college/gcandhi
290,Government Girls College Chaksu,Jaipur,govtgirlscollegechaksu@gmail.com,2022, Girls,UG,01429243778,https://hte.rajasthan.gov.in/college/govtgirlscollegechaksu
291,"Government Girls College Vidyadhar Nagar, Jaipur",Jaipur,ggcvdnjaipur@gmail.com,2022, Girls,UG,14100000,https://hte.rajasthan.gov.in/college/ggcvdnjaipur
292,"Government Girls College, Gangori Bazar, Jaipur",Jaipur,ggcggbjaipur@gmail.com,2021, Girls,UG,9414522447,https://hte.rajasthan.gov.in/college/ggcgangoribazarjpr
293,Government Girls College Dudu,Jaipur,ggcdudu22@gmail.com,2022, Girls,UG,9413205943,https://hte.rajasthan.gov.in/college/ggcdudu
294,Government Girls College Sanganer,Jaipur,ggcsanganer2022@gmail.com,2022, Girls,UG,7976363514,https://hte.rajasthan.gov.in/college/ggcs
295,"GOVERNMENT GIRLS COLLEGE GOVINDGARH, JAIPUR",Jaipur,ggcgovindgarh@gmail.com,2022, Girls,UG,01423223224,https://hte.rajasthan.gov.in/college/ggcgovindgarh
296,Govt College Kishangarh Renwal,Jaipur,gckishangarhrenwal@gmail.com,2022, CoEd,UG,9672399320,https://hte.rajasthan.gov.in/college/gckishangarhrenwal
297,Government Girls College Banskhoh,Jaipur,ggcbanskhoh@gmail.com,2022, Girls,UG,9414336195,https://hte.rajasthan.gov.in/college/ggcbanskhoh
298,"A.P.J. ABDUL KALAM GOVERNMENT GIRLS COLLEGE, GANGAPOLE, JAIPUR",Jaipur,ggcgangapole@gmail.com,2022, Girls,UG,1412992574,https://hte.rajasthan.gov.in/college/ggcgangapole
299,GOVT COLLEGE PAOTA  JAIPUR,Jaipur,gcpaota@gmail.com,2022, CoEd,UG,9571405620,https://hte.rajasthan.gov.in/college/hterajasthangovin
300,"GOVERNMENT DEAF AND DUMB COLLEGE, JAIPUR",Jaipur,govtmukbadhircollegejpr@gmail.com,2021, CoEd,UG,9414833487,https://hte.rajasthan.gov.in/college/gcdanddjrp
301,Government College Kanota,Jaipur,gckanota23@gamil.com,2023, CoEd,UG,9664301744,https://hte.rajasthan.gov.in/college/gckanota
302,"Government College Jaisinghpura Khor, Jaipur",Jaipur,gcjaisinghpurakhor@gmail.com,2023, CoEd,UG,9414474268,https://hte.rajasthan.gov.in/college/gcjaisinghpurakhor
303,Government College Jalsu,Jaipur,gcjalsu@gmail.com,2023, CoEd,UG,9414770906,https://hte.rajasthan.gov.in/college/gcjalsu
304,Government College Jagatpura,Jaipur,gcjagatpura@gmail.com,2023, CoEd,UG,9610464777,https://hte.rajasthan.gov.in/college/gcjagatpura
305,Government Girls College Amer,Jaipur,ggcamerjpr@gmail.com,2023, Girls,UG,01412313111,https://hte.rajasthan.gov.in/college/ggcamer
306,Government Girls College Sambhar Lake,Jaipur,ggcsbr@gmail.com,, Girls,,1425228407,https://hte.rajasthan.gov.in/college/ggcsambharlake
307,SBK GOVT PG COLLEGE JAISALMER,Jaisalmer,pgpracharya@gmail.com,1970,Pvt CoEd,PG,02992252350,https://hte.rajasthan.gov.in/college/sbkgcjaisalmer
308,Shri Mishri Lal Sanwal Government Girls PG College Jaisalmer,Jaisalmer,gcjaisalmer@gmail.com,1998, Girls,PG,02992-250636,https://hte.rajasthan.gov.in/college/ggcjaisalmer
309,Government P.G College Pokaran,Jaisalmer,gcpok@rediffmail.com,2006, CoEd,PG,02994222255,https://hte.rajasthan.gov.in/college/gcpokran
310,"Government Girls College, Pokran",Jaisalmer,ggcpokran@gmail.com,2017, Girls,UG,9079977386,https://hte.rajasthan.gov.in/college/ggcpokhran
311,Government College Fatehgarh,Jaisalmer,pgpracharya@gmail.com,2021, CoEd,UG,9414763141,https://hte.rajasthan.gov.in/college/gcfatehgarh
312,Government College Bhaniyana,Jaisalmer,gcbhaniyana2020@gmail.com,2020, CoEd,UG,2992252350,https://hte.rajasthan.gov.in/college/gcbhaniyana
313,GOVT COLLEGE SANKDA,Jaisalmer,gcsankra@gmail.com,2022, CoEd,UG,2994222255,https://hte.rajasthan.gov.in/college/gcsankra
314,Government College Ramgarh,Jaisalmer,gcraamgarh@gmail.com,2022, CoEd,UG,0000000000,https://hte.rajasthan.gov.in/college/gcramgadh
315,Government College Nachna,Jaisalmer,gcnachna2023@gmail.com,2023, CoEd,UG,99999999999,https://hte.rajasthan.gov.in/college/gcnachna2023
316,Government College Mohangarh,Jaisalmer,gcmohangarh@gmail.com,2023, CoEd,UG,9413204933,https://hte.rajasthan.gov.in/college/gcmohangarh
317,Government College Phalsoond,Jaisalmer,gcphalsoond@gamil.com,2023, CoEd,UG,6350311329,https://hte.rajasthan.gov.in/college/phalssond
318,"GOVT. P.G. COLLEGE , JALORE",Jalore,govtcollegejalore@gmail.com,1966, CoEd,PG,02973223141,https://hte.rajasthan.gov.in/college/gcjalore
319,"Shri Rajendra Suri Kundan Jain Rajkiya Mahila Mahavidhyalaya, Jalore",Jalore,srskj1999@gmail.com,1999, Girls,PG,02973-225459,https://hte.rajasthan.gov.in/college/ggcjalore
320,"G K Gowani Govt. College, Bhinmal",Jalore,gkggc66bhinmal@gmail.com,1966, CoEd,PG,02969-220041,https://hte.rajasthan.gov.in/college/gcbhinmal
321,Government College Ahore,Jalore,govtcollegeahore@gmail.com,2015, CoEd,UG,9983211126,https://hte.rajasthan.gov.in/college/gcahore
322,GOVERNMENT COLLEGE RANIWARA,Jalore,gcraniwara@gmail.com,2018, CoEd,UG,9636582655,https://hte.rajasthan.gov.in/college/gcraniwara
323,GOVERNMENT COLLEGE CHITALWANA,Jalore,gcchitalwana@gmail.com,2019, CoEd,UG,7727934011,https://hte.rajasthan.gov.in/college/gcchitalwana
324,Govt College Sanchore,Jalore,govtcollegesanchore@gmail.com,2019, CoEd,UG,9549113657,https://hte.rajasthan.gov.in/college/gcsanchore
325,Government College Rewatra Dist Jalore,Jalore,gcrewatra@gmail.com,2022, CoEd,UG,02973-223141,https://hte.rajasthan.gov.in/college/gcrewatra
326,Government College Bagoda,Jalore,gcbagoda@gmail.com,2023, CoEd,UG,9001618168,https://hte.rajasthan.gov.in/college/gcbagoda
327,GOVERNMENT GIRLS COLLEGE JHALAWAR,Jhalawar,govt.girlscollegejhalawar@yahoo.in,1995, Girls,PG,07432-232415,https://hte.rajasthan.gov.in/college/ggcjhalawar
328,Government  College Jhalawar,Jhalawar,principalgcjhalawar@gmail.com,1958, CoEd,PG,0744-232315,https://hte.rajasthan.gov.in/college/gcjhalawar
329,Govt. College Manohar thana,Jhalawar,gcmanoharthana@gmail.com,2015, CoEd,UG,8003826727,https://hte.rajasthan.gov.in/college/gcmanoharthana
330,"Government Birla College, Bhawani Mandi",Jhalawar,gbcb_bwm@yahoo.co.in,1991, CoEd,PG,07433-222125,https://hte.rajasthan.gov.in/college/gbbhawanimandi
331,Government College Pidawa,Jhalawar,gcpirawa@gmail.com,2016, CoEd,UG,9950905262,https://hte.rajasthan.gov.in/college/gcpidawa
332,Government College Chaumahala,Jhalawar,gcchaumahala@gmail.com,2016, CoEd,UG,07435-284497,https://hte.rajasthan.gov.in/college/gcchaumahala
